start_time;name of detector;volume
2015-07-10 09:00:01.700000+03:00 A60_1 73
2015-07-10 10:00:01.700000+03:00 A60_1 99
2015-07-10 11:00:01.700000+03:00 A60_1 93
2015-07-10 12:00:01.700000+03:00 A60_1 114
2015-07-10 13:00:01.700000+03:00 A60_1 125
2015-07-10 14:00:01.700000+03:00 A60_1 132
2015-07-10 15:00:01.700000+03:00 A60_1 113
2015-07-10 16:00:01.700000+03:00 A60_1 107
2015-07-10 09:00:01.700000+03:00 A60_2 300
2015-07-10 10:00:01.700000+03:00 A60_2 374
2015-07-10 11:00:01.700000+03:00 A60_2 415
2015-07-10 12:00:01.700000+03:00 A60_2 475
2015-07-10 13:00:01.700000+03:00 A60_2 434
2015-07-10 14:00:01.700000+03:00 A60_2 438
2015-07-10 15:00:01.700000+03:00 A60_2 405
2015-07-10 16:00:01.700000+03:00 A60_2 410
